time_ms,alt,ax,ay,az,temp
245176,0.8,0.058,-0.054,0.941,26.1
246433,0.9,0.023,-0.059,0.952,26.1
247690,0.9,-0.412,-0.079,0.613,26.1
248900,0.9,-0.543,0.191,0.704,26.1
250157,0.8,-0.648,-0.177,0.772,26.1
251414,1.3,-0.196,-0.946,0.033,26.2
252673,1.6,-0.625,0.663,-0.011,26.2
253930,1.4,-0.659,0.702,-0.071,26.2
255187,1.3,-0.699,0.525,-0.015,26.2
256444,0.8,-0.097,0.003,0.949,26.2
257701,1.0,0.102,0.025,0.948,26.2
258958,0.8,0.071,-0.047,0.942,26.2
260215,1.1,0.073,-0.047,0.943,26.2
261472,1.0,0.072,-0.057,0.938,26.2
262729,0.8,0.079,-0.052,0.937,26.2
263986,0.9,0.063,-0.041,0.943,26.2
265243,1.0,0.070,-0.044,0.930,26.2
266500,1.0,0.073,-0.040,0.927,26.2
267757,1.2,0.062,-0.042,0.945,26.2
269014,1.2,0.073,-0.052,0.932,26.2
270273,1.0,0.066,-0.045,0.927,26.1
271530,0.8,0.073,-0.044,0.949,26.1
272787,1.1,0.079,-0.042,0.928,26.1
274044,1.0,0.065,-0.054,0.933,26.1
275301,1.2,0.070,-0.052,0.934,26.1
276558,1.2,0.078,-0.054,0.935,26.1
277815,1.1,0.068,-0.048,0.933,26.1
279072,1.2,0.070,-0.049,0.942,26.1
280329,1.1,0.061,-0.046,0.947,26.1
281586,1.0,0.068,-0.053,0.941,26.1
282843,1.1,0.058,-0.051,0.934,26.1
284100,1.1,0.061,-0.059,0.949,26.1
285357,0.9,0.076,-0.042,0.932,26.1
286614,1.1,0.074,-0.056,0.936,26.1
287884,1.5,0.065,-0.049,0.948,26.1
289143,1.3,0.071,-0.046,0.941,26.1
290400,1.3,0.064,-0.058,0.941,26.1
291657,1.6,0.076,-0.062,0.953,26.1
292914,1.4,0.071,-0.052,0.940,26.1
294171,1.4,0.074,-0.050,0.938,26.1
295428,1.4,0.061,-0.041,0.938,26.1
296685,1.4,0.064,-0.037,0.935,26.1
297942,1.6,0.078,-0.057,0.936,26.1
299199,1.5,0.059,-0.053,0.937,26.1
300456,1.2,0.081,-0.052,0.942,26.1
301713,1.1,0.068,-0.052,0.934,26.1
302970,1.3,0.064,-0.051,0.932,26.1
304227,1.3,0.067,-0.049,0.943,26.1
305484,1.0,0.056,-0.054,0.945,26.1
306744,1.0,0.071,-0.050,0.941,26.1
308001,1.2,0.079,-0.049,0.936,26.1
309258,1.0,0.074,-0.046,0.952,26.1
310515,1.2,0.083,-0.049,0.950,26.1
311772,0.9,0.061,-0.053,0.935,26.1
313029,1.2,0.069,-0.052,0.942,26.1
314286,1.3,0.073,-0.045,0.946,26.1
315543,1.4,0.073,-0.057,0.942,26.1
316800,1.3,0.084,-0.044,0.943,26.1
318057,1.4,0.065,-0.040,0.943,26.1
319314,1.2,0.085,-0.050,0.941,26.1
320571,1.1,0.073,-0.047,0.944,26.1
321828,1.1,0.065,-0.054,0.939,26.1
323085,1.1,0.075,-0.039,0.949,26.1
324345,1.2,0.071,-0.038,0.936,26.1
325601,1.0,0.074,-0.048,0.938,26.1
326857,1.1,0.079,-0.045,0.934,26.1
328113,1.5,0.071,-0.066,0.927,26.1
329369,1.4,0.077,-0.051,0.945,26.1
330625,1.2,0.084,-0.046,0.937,26.1
331881,1.1,0.065,-0.056,0.936,26.1
333137,1.1,0.071,-0.045,0.926,26.1
334393,1.1,0.067,-0.050,0.940,26.1
335649,1.0,0.065,-0.036,0.946,26.1
336905,1.3,0.070,-0.045,0.947,26.1
338161,1.0,0.068,-0.046,0.956,26.1
339417,1.0,0.065,-0.048,0.930,26.1
